Cliente;Produto;Quantidade;Valor unitário;Valor final;
Clínica filial de Xique Xique;SACO DE LIXO 100 LT INFECTANTE UND;10;0,53;5,30;
Clínica filial de Xique Xique;LUVA DE LIMPEZA TAM M;2;4,75;9,50;
Clínica filial de Xique Xique;COLETOR DE MAT. PERFURO CORTANTE 03 LT;2;4,26;8,52;
Clínica filial de Xique Xique;PAPEL LENÇOL ROLO 0,70MTX50 CM UND;2;14,50;29,00;
Clínica filial de Xique Xique;PAPEL LENÇOL ROLO 0,70MTX50 CM UND;2;18,51;37,02;
Clínica filial de Xique Xique;LIXEIRA DE COM PEDAL 7L;1;29,99;29,99;
Clínica filial de Xique Xique;DETERGENTE ENZIMATICO 1LT;1;12,61;12,61;
Clínica filial de Xique Xique;PAPEL P/FOTO MASTERPRINT A4 180G 20 F P.D`AGUA;4,000;10,99;43,96;
Clínica filial de Xique Xique;PAPEL OFICIO A4  UP;1;27,99;27,99;
Clínica filial de Xique Xique;FILME PVC 30X28;2;5,29;10,58;
Clínica matriz de Irece;LUVA LATEX P/PROCEDIMENTO TAM P CX  C/100;2;21,00;42,00;
Clínica matriz de Irece;SACO DE LIXO 60L PRETO REFORÇADO UND;40;0,28;11,20;
Clínica matriz de Irece;AÇUCAR CRISTAL 1KG COD10340;18;3,89;70,02;
Clínica matriz de Irece;CAFE PURO MOIDO A VACUO 250G PACOTE;25;6,97;174,25;
Clínica matriz de Irece;COPO DESCARTAVEL PP 180ML;42;2,60;109,20;
Clínica matriz de Irece;COPO DESCARTAVEL 50 ML DE CAFÉ;25;2,99;74,75;
Clínica matriz de Irece;DESINFETANTE MULTIUSO;3;2,50;7,50;
Clínica matriz de Irece;DESINFETANTE MULTIUSO;7;3,00;21,00;
Clínica matriz de Irece;DETERGENTE 500 ML;2;1,95;3,90;
Clínica matriz de Irece;DETERGENTE 500 ML;4;2,25;9,00;
Clínica matriz de Irece;PANO DE PRATO;3;2,50;7,50;
Clínica matriz de Irece;PAPEL TOALHA IDEAL CELULOSE 1000 FOLHAS;15;17,70;265,50;
Clínica matriz de Irece;PAPEL TOALHA IDEAL CELULOSE 1000 FOLHAS;15;17,75;266,25;
Clínica matriz de Irece;SABONETE LIQUIDO 500 ML;5;7,00;35,00;
Clínica matriz de Irece;SACO DE LIXO 50L COMUM UND;10;0,27;2,70;
Clínica matriz de Irece;CANETA (AZUL);10;1,20;12,00;
Clínica matriz de Irece;CAPA (EXAME USG);300;1,05;315,00;
Clínica matriz de Irece;CAPA (EXAME GINECOLOGICO);50;0,45;22,50;
Clínica matriz de Irece;ALCOOL LIQUIDO 70% 1 LITRO;4;6,49;25,96;
Clínica matriz de Irece;ALCOOL LIQUIDO 70% 1 LITRO;4;7,01;28,04;
Clínica matriz de Irece;ESPECULO DESC. T-P;15;1,80;27,00;
Clínica matriz de Irece;ESPECULO DESC. T-P;15;1,90;28,50;
Clínica matriz de Irece;PAPEL LENÇOL ROLO 50 MTX50 CM UND;4;11,69;46,76;
Clínica matriz de Irece;PINÇA (CHERON ESTERIL);30;1,99;59,70;
Clínica matriz de Irece;PRESERVATIVO  MASCULINO SEM LUBRIFICANTE;42;0,37;15,54;
Clínica matriz de Irece;BLOCOS DE EXAMES;6;18,00;108,00;
Clínica matriz de Irece;ADESIVOS PARA LAUDO;200;0,08;16,00;
Clínica matriz de Irece;ADESIVOS PARA LAUDO;300;0,11;33,00;
Clínica matriz de Irece;PAPEL HIG IDEAL 300X10 MT CELULOSE FD COM 8 ROLOS;1;65,00;65,00;
Clínica matriz de Irece;PAPEL HIG IDEAL 300X10 MT CELULOSE FD COM 8 ROLOS;2;76,00;152,00;
Clínica matriz de Irece;AVENTAL DESC S/MANGA PCT  UND;110;23,60;2.596,00;
Clínica matriz de Irece;ESPECULO DESC. T-M;10;1,90;19,00;
Clínica matriz de Irece;SACO DE LIXO 30 LT INFECTANTE UND;10;0,17;1,70;
Clínica matriz de Irece;BLOCO RECEITUÁRIO;4;6,60;26,40;
Clínica matriz de Irece;BISC PIT STOP 0,137 GR  DIVERSOS SABORES;20;4,19;83,80;
Clínica matriz de Irece;SACO DE LIXO 60 LT INFECTANTE UND;46;0,32;14,72;
Clínica matriz de Irece;LUVA LATEX P/PROCEDIMENTO  TAM M C/100;2;21,00;42,00;
Clínica matriz de Irece;SACO DE LIXO 100 LT PRETO COMUM UND;100;0,36;36,00;
Clínica matriz de Irece;PAPEL LENÇOL ROLO 0,70MTX50 CM UND;1;14,50;14,50;
Clínica matriz de Irece;SACO DE LIXO 60 LT PRETO COMUM UND;50;0,29;14,50;
Clínica matriz de Irece;AGUA PARA INJEÇÃO 10 ML EQUIPLEX UND;5;0,89;4,45;
Clínica matriz de Irece;PAPEL LENÇOL ROLO 50 MTX50 CM UND;1;11,80;11,80;
Clínica matriz de Irece;VASSOURA ITALIAN;1;35,99;35,99;
Clínica matriz de Irece;BOM AR  AIR WICK DIVERSOS AROMAS;4;11,89;47,56;
Clínica matriz de Irece;PANO DE CHAO BRANCO ALVEJADO;1;7,14;7,14;
Clínica matriz de Irece;ELETRODO ECG ADULT/INFANTIL PCT C/ 50 - SOLIDOR;10;18,00;180,00;
Clínica matriz de Irece;MASCARA TRIPLA C/ ELASTICO C/50 OLIMED;2;12,00;24,00;
Clínica matriz de Irece;CLIPS 4/0 C 50;2;2,59;5,18;
Clínica matriz de Irece;SERINGA DESC. 05 ML C/AGULHA 27X7;10;0,59;5,90;
Clínica matriz de Irece;MULTIUSO TEIU 500 ML;2;2,58;5,16;
Clínica matriz de Irece;MULTIUSO TEIU 500 ML;3;3,00;9,00;
Clínica matriz de Irece;PAPEL P/FOTO MASTERPRINT A4 180G 20 F P.D`AGUA;30,000;10,99;329,70;
Clínica matriz de Irece;PAPEL OFICIO A4  UP;9;27,99;251,91;
Clínica matriz de Irece;REMOVEDOR DE SUJEIRAS 2L;1;17,99;17,99;
Clínica matriz de Irece;MULTI INSETICIDA 450 ML;4;14,49;57,96;
Clínica matriz de Irece;ELETRODO MONITORA C/50 BRQ;30;20,49;614,70;
Laboratório Promed Irece;ALGODAO HIDROFILO 500 GR;2;20,87;41,74;
Laboratório Promed Irece;LUVA LATEX P/PROCEDIMENTO TAM P CX  C/100;2;21,00;42,00;
Laboratório Promed Irece;SCALP 23G;100;0,85;85,00;
Laboratório Promed Irece;SCALP 23G;1;33,00;33,00;
Laboratório Promed Irece;SERINGA DESC. 05 ML C/AGULHA 25X7;10;0,36;3,60;
Laboratório Promed Irece;CAFE PURO MOIDO A VACUO 250G PACOTE;2;6,97;13,94;
Laboratório Promed Irece;COPO DESCARTAVEL PP 180ML;8;2,60;20,80;
Laboratório Promed Irece;DESINFETANTE MULTIUSO;3;2,50;7,50;
Laboratório Promed Irece;DESINFETANTE MULTIUSO;6;3,00;18,00;
Laboratório Promed Irece;DETERGENTE 500 ML;2;1,95;3,90;
Laboratório Promed Irece;DETERGENTE 500 ML;2;2,25;4,50;
Laboratório Promed Irece;ESPONJA;5;0,90;4,50;
Laboratório Promed Irece;PAPEL TOALHA IDEAL CELULOSE 1000 FOLHAS;2;17,70;35,40;
Laboratório Promed Irece;PAPEL TOALHA IDEAL CELULOSE 1000 FOLHAS;2;17,75;35,50;
Laboratório Promed Irece;SACO DE LIXO 50L COMUM UND;50;0,27;13,50;
Laboratório Promed Irece;CANETA (AZUL);6;1,20;7,20;
Laboratório Promed Irece;FITA ADESIVA 45X45 LARGA;1;3,89;3,89;
Laboratório Promed Irece;ALCOOL LIQUIDO 70% 1 LITRO;4;6,49;25,96;
Laboratório Promed Irece;ALCOOL ABSOLUTO;4;14,00;56,00;
Laboratório Promed Irece;CURATIVO INFANTIL LAB CX C/ 500;1;23,49;23,49;
Laboratório Promed Irece;SCALP 21;100;0,75;75,00;
Laboratório Promed Irece;GRAMPO 26/06 CX C/5000 MIL;1;5,99;5,99;
Laboratório Promed Irece;ADESIVOS PARA LAUDO;100;0,08;8,00;
Laboratório Promed Irece;ADESIVOS PARA LAUDO;250;0,11;27,50;
Laboratório Promed Irece;CAPAS DE LABORATORIO;400;0,60;240,00;
Laboratório Promed Irece;CURATIVO ADULTO cx c/500;1;23,89;23,89;
Laboratório Promed Irece;CURATIVO ADULTO cx c/500;1;23,98;23,98;
Laboratório Promed Irece;APARELHO DE BARBEAR PROBAK 2 LAMINAS;30;1,99;59,70;
Laboratório Promed Irece;APARELHO DE BARBEAR PROBAK 2 LAMINAS;40;2,09;83,60;
Laboratório Promed Irece;COMPRESSA DE GAZE ECOMAX 11 FIOS PCT C/ 500;2;30,45;60,90;
Laboratório Promed Irece;BISC PIT STOP 0,137 GR  DIVERSOS SABORES;50;4,19;209,50;
Laboratório Promed Irece;BISC PIT STOP 0,137 GR  DIVERSOS SABORES;9;4,89;44,01;
Laboratório Promed Irece;COPO DESCARTAVEL 200ML;6;6,20;37,20;
Laboratório Promed Irece;SACO DE LIXO 60 LT INFECTANTE UND;100;0,32;32,00;
Laboratório Promed Irece;SACO DE LIXO 100 LT INFECTANTE UND;50;0,53;26,50;
Laboratório Promed Irece;LUVA LATEX P/PROCEDIMENTO  TAM M C/100;2;21,00;42,00;
Laboratório Promed Irece;AGUA SANITARIA 1 LT;15;2,49;37,35;
Laboratório Promed Irece;SERINGA DESC 10 ML C/AG 25X7;310;0,54;167,40;
Laboratório Promed Irece;SERINGA DESC. 20 ML S/AGULHA;60;0,53;31,80;
Laboratório Promed Irece;SERINGA DESC. 20 ML S/AGULHA;142;0,68;96,56;
Laboratório Promed Irece;SACO DE LIXO 60 LT PRETO COMUM UND;25;0,29;7,25;
Laboratório Promed Irece;VASSOURA ITALIAN;1;35,99;35,99;
Laboratório Promed Irece;BOM AR  AIR WICK DIVERSOS AROMAS;3;11,89;35,67;
Laboratório Promed Irece;SERINGA DESC 03ML C/AGULHA;10;0,35;3,50;
Laboratório Promed Irece;PILOTO RETROPROJETOR VERMELHO P/ LABORATORIO;2;12,49;24,98;
Laboratório Promed Irece;SERINGA DESC. 10 ML S/AGULHA L. SLIP;200;0,37;74,00;
Laboratório Promed Irece;COLETOR UNIVERSAL 80ML;200;0,52;104,00;
Laboratório Promed Irece;MASCARA TRIPLA C/ ELASTICO C/50 OLIMED;2;12,00;24,00;
Laboratório Promed Irece;SACO DE LIXO 20L;25;0,10;2,50;
Laboratório Promed Irece;SERINGA DESC. 05 ML C/AGULHA 27X7;100;0,59;59,00;
Laboratório Promed Irece;PANO DE CHÃO TIPO TOALHA DE BANHO;2;6,00;12,00;
Laboratório Promed Irece;MULTIUSO TEIU 500 ML;2;2,58;5,16;
Laboratório Promed Irece;PAPEL OFICIO A4  UP;11;27,99;307,89;
Laboratório Promed Irece;GRAMPEADOR BRW 10,5CM;1;16,99;16,99;
Laboratório Promed Irece;SERINGA DESC. 20 ML C/AGULHA 25X7;10;0,76;7,60;
Laboratório Promed Irece;BALA CARAMELO;2;9,99;19,98;
Laboratório Promed Irece;LUVA P/ PROCEDIMENTO SEM PO P CX100;10;21,98;219,80;
Laboratório Promed Irece;PÁ DE LIXO;1;33,29;33,29;
Laboratório Promed Irece;LUVA P/PROCEDIMENTO TAM P  CX C/100 SEM PO;4;21,98;87,92;
Laboratório Promed central;SCALP 23G;60;0,85;51,00;
Laboratório Promed central;AÇUCAR CRISTAL 1KG COD10340;3;3,89;11,67;
Laboratório Promed central;ALCOOL LIQUIDO 70% 1 LITRO;2;6,49;12,98;
Laboratório Promed central;SCALP(27);30;0,40;12,00;
Laboratório Promed central;ADESIVOS PARA LAUDO;100;0,08;8,00;
Laboratório Promed central;CAPAS DE LABORATORIO;100;0,60;60,00;
Laboratório Promed central;BISC PIT STOP 0,137 GR  DIVERSOS SABORES;7;4,19;29,33;
Laboratório Promed central;AGUA SANITARIA 1 LT;1;1,75;1,75;
Laboratório Promed central;COLETOR UNIVERSAL 80ML S/PA TAMPA VERMELHA;50;0,79;39,50;
Laboratório Promed Morro do Chapeu;AGULHA DESC. 25X7 C/100;1;13,98;13,98;
Laboratório Promed Morro do Chapeu;LUVA LATEX P/PROCEDIMENTO TAM P CX  C/100;2;21,00;42,00;
Laboratório Promed Morro do Chapeu;SCALP 23G;200;0,85;170,00;
Laboratório Promed Morro do Chapeu;SERINGA DESC. 05 ML C/AGULHA 25X7;150;0,62;93,00;
Laboratório Promed Morro do Chapeu;SACO DE LIXO 40 LT COMUM UND;100;0,17;17,00;
Laboratório Promed Morro do Chapeu;AÇUCAR CRISTAL 1KG COD10340;3;3,89;11,67;
Laboratório Promed Morro do Chapeu;CAFE PURO MOIDO A VACUO 250G PACOTE;4;6,97;27,88;
Laboratório Promed Morro do Chapeu;COPO DESCARTAVEL PP 180ML;4;2,60;10,40;
Laboratório Promed Morro do Chapeu;DESINFETANTE MULTIUSO;3;3,00;9,00;
Laboratório Promed Morro do Chapeu;PAPEL TOALHA IDEAL CELULOSE 1000 FOLHAS;3;17,70;53,10;
Laboratório Promed Morro do Chapeu;ALCOOL LIQUIDO 70% 1 LITRO;2;6,49;12,98;
Laboratório Promed Morro do Chapeu;ALCOOL GEL  70% 1 LT;1;9,50;9,50;
Laboratório Promed Morro do Chapeu;ADESIVOS PARA LAUDO;300;0,08;24,00;
Laboratório Promed Morro do Chapeu;SACOLAS DO LABORATORIO;200;0,57;114,00;
Laboratório Promed Morro do Chapeu;BISC PIT STOP 0,137 GR  DIVERSOS SABORES;25;4,19;104,75;
Laboratório Promed Morro do Chapeu;SACO DE LIXO 60 LT INFECTANTE UND;10;0,32;3,20;
Laboratório Promed Morro do Chapeu;SACO DE LIXO 100 LT PRETO COMUM UND;30;0,36;10,80;
Laboratório Promed Morro do Chapeu;AGUA SANITARIA 1 LT;2;1,75;3,50;
Laboratório Promed Morro do Chapeu;COLETOR DE MAT. PERFURO CORTANTE 03 LT;4;3,99;15,96;
Laboratório Promed Morro do Chapeu;SERINGA DESC. 20 ML S/AGULHA;100;0,68;68,00;
Laboratório Promed Morro do Chapeu;SACO DE LIXO 60 LT PRETO COMUM UND;100;0,29;29,00;
Laboratório Promed Morro do Chapeu;BOM AR  AIR WICK DIVERSOS AROMAS;1;11,89;11,89;
Laboratório Promed Morro do Chapeu;PAPEL OFICIO A4  UP;4;27,99;111,96;
Laboratório Promed Morro do Chapeu;FILTRO DE PAPEL;1;4,29;4,29;
Laboratório Promed Morro do Chapeu;ESCOVA SANITARIA C/ SUPORTE;1;19,99;19,99;
Laboratório Promed Morro do Chapeu;LUVA P/PROCEDIMENTO SEM PO M  CX 100;2;21,98;43,96;
Laboratório Promed Morro do Chapeu;SERINGA DESC 10 ML C/AG 25X8;150;0,64;96,00;
Laboratório Promed Morro do Chapeu;COLETOR UNIVERSAL 80ML S/PA TAMPA VERMELHA;200;0,79;158,00;
Laboratório Promed Xique Xique;ALGODAO HIDROFILO 500 GR;2;20,87;41,74;
Laboratório Promed Xique Xique;LUVA LATEX P/PROCEDIMENTO TAM P CX  C/100;2;21,00;42,00;
Laboratório Promed Xique Xique;SERINGA DESC. 05 ML C/AGULHA 25X7;100;0,36;36,00;
Laboratório Promed Xique Xique;SACO DE LIXO 40 LT COMUM UND;15;0,17;2,55;
Laboratório Promed Xique Xique;AÇUCAR CRISTAL 1KG COD10340;1;3,89;3,89;
Laboratório Promed Xique Xique;CAFE PURO MOIDO A VACUO 250G PACOTE;1;6,97;6,97;
Laboratório Promed Xique Xique;COPO DESCARTAVEL PP 180ML;1;2,60;2,60;
Laboratório Promed Xique Xique;COPO DESCARTAVEL 50 ML DE CAFÉ;2;2,99;5,98;
Laboratório Promed Xique Xique;DESINFETANTE MULTIUSO;1;3,00;3,00;
Laboratório Promed Xique Xique;SCALP 25;100;0,79;79,00;
Laboratório Promed Xique Xique;ADESIVOS PARA LAUDO;250;0,08;20,00;
Laboratório Promed Xique Xique;ADESIVOS PARA LAUDO;100;0,11;11,00;
Laboratório Promed Xique Xique;CAPAS DE LABORATORIO;450;0,60;270,00;
Laboratório Promed Xique Xique;PEDRA SANITARIA;1;2,10;2,10;
Laboratório Promed Xique Xique;APARELHO DE BARBEAR PROBAK 2 LAMINAS;10;1,99;19,90;
Laboratório Promed Xique Xique;BISC PIT STOP 0,137 GR  DIVERSOS SABORES;10;4,19;41,90;
Laboratório Promed Xique Xique;SACO DE LIXO 60 LT INFECTANTE UND;23;0,32;7,36;
Laboratório Promed Xique Xique;AGUA SANITARIA 1 LT;2;2,49;4,98;
Laboratório Promed Xique Xique;SERINGA DESC 10 ML C/AG 25X7;100;0,54;54,00;
Laboratório Promed Xique Xique;COLETOR DE MAT. PERFURO CORTANTE 03 LT;2;4,26;8,52;
Laboratório Promed Xique Xique;SERINGA DESC. 20 ML S/AGULHA;150;0,68;102,00;
Laboratório Promed Xique Xique;LIXEIRA COM PEDAL 14,5  LT;1;39,99;39,99;
Laboratório Promed Xique Xique;COLETOR UNIVERSAL 80ML;100;0,52;52,00;
Laboratório Promed Xique Xique;PAPEL OFICIO A4  UP;1;27,99;27,99;
Laboratório Promed Xique Xique;SERINGA DESC. 20 ML C/AGULHA 25X7;200;0,76;152,00;
Laboratório Promed Xique Xique;LUVA P/ PROCEDIMENTO SEM PO P CX100;3;21,98;65,94;
Laboratório Promed Xique Xique;PIRULITO SACO;1;9,95;9,95;
Laboratório Promed Xique Xique;PIRULITO SACO;2;10,99;21,98;
Laboratório Promed Xique Xique;SERINGA DESC 10 ML C/AG 25X8;100;0,64;64,00;
Laboratório Promed Xique Xique;COLETOR UNIVERSAL 80ML S/PA TAMPA VERMELHA;100;0,79;79,00;
Laboratório Promed Xique Xique;BISC CLUB SOCIAL;15;4,99;74,85;
Funeraria pro Ceu;ALGODAO HIDROFILO 500 GR;8;20,87;166,96;
Funeraria pro Ceu;LUVA LATEX P/PROCEDIMENTO TAM P CX  C/100;2;21,00;42,00;
Funeraria pro Ceu;AÇUCAR CRISTAL 1KG COD10340;98;3,89;381,22;
Funeraria pro Ceu;BISCOITO VITARELLA CREAM CRACKER TRADICIONAL;77;5,49;422,73;
Funeraria pro Ceu;CAFE PURO MOIDO A VACUO 250G PACOTE;101;6,97;703,97;
Funeraria pro Ceu;COPO DESCARTAVEL PP 180ML;48;2,60;124,80;
Funeraria pro Ceu;COPO DESCARTAVEL 50 ML DE CAFÉ;40;2,99;119,60;
Funeraria pro Ceu;COPO DESCARTAVEL 50 ML DE CAFÉ;4;3,56;14,24;
Funeraria pro Ceu;DESINFETANTE MULTIUSO;3;2,50;7,50;
Funeraria pro Ceu;DESINFETANTE MULTIUSO;3;3,00;9,00;
Funeraria pro Ceu;DETERGENTE 500 ML;14;1,95;27,30;
Funeraria pro Ceu;DETERGENTE 500 ML;7;2,25;15,75;
Funeraria pro Ceu;ESPONJA;5;0,90;4,50;
Funeraria pro Ceu;PAPEL TOALHA IDEAL CELULOSE 1000 FOLHAS;2;17,70;35,40;
Funeraria pro Ceu;PAPEL TOALHA IDEAL CELULOSE 1000 FOLHAS;3;21,12;63,36;
Funeraria pro Ceu;SABONETE LIQUIDO 500 ML;6;7,00;42,00;
Funeraria pro Ceu;CANETA (AZUL);7;1,20;8,40;
Funeraria pro Ceu;ALCOOL LIQUIDO 70% 1 LITRO;2;6,49;12,98;
Funeraria pro Ceu;ALCOOL LIQUIDO 70% 1 LITRO;2;7,01;14,02;
Funeraria pro Ceu;ALCOOL GEL  70% 1 LT;7;9,50;66,50;
Funeraria pro Ceu;LIVRO DE PROTOCOLO DE CORRESPONDENCIA;1;18,29;18,29;
Funeraria pro Ceu;PEDRA SANITARIA;8;2,10;16,80;
Funeraria pro Ceu;COROA PLANO DANMA;40;27,00;1.080,00;
Funeraria pro Ceu;FLUIDO CAVITÁRIO TC 30  - 20L;4;192,60;770,40;
Funeraria pro Ceu;URNA PLANO PAX;66;364,00;24.024,00;
Funeraria pro Ceu;URNA 150 LUXO SÃO GONCALO;4;726,00;2.904,00;
Funeraria pro Ceu;VELAS DA LIPE PACOTE COM 4 UND;76;18,80;1.428,80;
Funeraria pro Ceu;ALGODAO DE CORDA PARA TAMPONAMENTO;14;18,08;253,12;
Funeraria pro Ceu;LUVA LATEX P/PROCEDIMENTO  TAM M C/100;6;21,00;126,00;
Funeraria pro Ceu;SACO DE LIXO 100 LT PRETO COMUM UND;100;0,36;36,00;
Funeraria pro Ceu;AGUA SANITARIA 1 LT;3;1,75;5,25;
Funeraria pro Ceu;AGUA SANITARIA 1 LT;4;2,97;11,88;
Funeraria pro Ceu;FLUIDO ARTERIAL TA 32 -  20L;4;211,86;847,44;
Funeraria pro Ceu;MANTA ACRILON 060 X 1.5;40;8,85;354,00;
Funeraria pro Ceu;MANTA ACRILON 060 X 1.5;44;10,07;443,08;
Funeraria pro Ceu;MANTA ACRILON 060 X 1.5;80;11,14;891,20;
Funeraria pro Ceu;DESINFETANTE / BACTERICIDA 1L;8;13,64;109,12;
Funeraria pro Ceu;URNA 270 BAU- SÃO GONÇALO;1;1.278,00;1.278,00;
Funeraria pro Ceu;URNA ANJINHO 60 CM;1;60,00;60,00;
Funeraria pro Ceu;MULTIUSO TEIU 500 ML;5;2,58;12,90;
Funeraria pro Ceu;MULTIUSO TEIU 500 ML;3;3,00;9,00;
Funeraria pro Ceu;MORTALHA INFANTIL 4 A 5 ANOS;1;20,00;20,00;
Funeraria pro Ceu;BISCOITO SUPRADELLY MAIZENA 350GR;37;5,19;192,03;
Funeraria pro Ceu;BISCOITO SUPRADELLY MAIZENA 350GR;40;5,81;232,40;
Funeraria pro Ceu;URNA 130 L ONDULADA SÃO GONCALO;1;715,00;715,00;
Funeraria pro Ceu;URNA 130 L LISA SÃO GONCALO;1;608,00;608,00;
Funeraria pro Ceu;LUVA P/ PROCEDIMENTO SEM PO P CX100;2;21,98;43,96;
Funeraria pro Ceu;URNA 400 SAO GONÇALO;1;1.995,00;1.995,00;
Funeraria pro Ceu;URNA 130 N SÃO GONCALO;1;527,00;527,00;
Funeraria pro Ceu;URNA F INFANTIL 6000 LAQUEADA;2;88,00;176,00;
Funeraria pro Ceu;URNA F INFANTIL 10000 LAQUEADA;1;113,00;113,00;
Funeraria pro Ceu;URNA F INFANTIL 12000 LAQUEADA;1;128,00;128,00;
Funeraria pro Ceu;URNA F INFANTIL 14000 LAQUEADA;1;165,00;165,00;
Funeraria pro Ceu;URNA F300 PLANO SIMPLES;20;343,00;6.860,00;
Funeraria pro Ceu;URNA F INFANTIL 50-LAQUEADA;2;85,00;170,00;
Funeraria pro Ceu;FILME PVC 30X28;7;5,29;37,03;
Funeraria pro Ceu;AÇUCAR CRISTAL 1KG COD10340;4;3,89;15,56;
Funeraria pro Ceu;CAFE PURO MOIDO A VACUO 250G PACOTE;6;6,97;41,82;
Funeraria pro Ceu;COPO DESCARTAVEL PP 180ML;5;2,60;13,00;
Funeraria pro Ceu;COPO DESCARTAVEL 50 ML DE CAFÉ;5;2,99;14,95;
Funeraria pro Ceu;DESINFETANTE MULTIUSO;1;3,00;3,00;
Funeraria pro Ceu;PAPEL TOALHA IDEAL CELULOSE 1000 FOLHAS;3;17,75;53,25;
Funeraria pro Ceu;CANETA (AZUL);3;1,20;3,60;
Funeraria pro Ceu;PAPEL HIG IDEAL 300X10 MT CELULOSE FD COM 8 ROLOS;1;76,00;76,00;
Funeraria pro Ceu;BISC PIT STOP 0,137 GR  DIVERSOS SABORES;4;4,19;16,76;
Funeraria pro Ceu;LUVA DE LIMPEZA TAM M;1;4,75;4,75;
Funeraria pro Ceu;SACO DE LIXO 100 LT PRETO COMUM UND;10;0,36;3,60;
Funeraria pro Ceu;AGUA SANITARIA 1 LT;1;1,75;1,75;
